province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
Surigao del Norte,CARAGA,2021,38,376,0,185230,684565,50688,74024,1186862927.34,18027986988.3,0.0,0.0,19198480771.64,38413330687.28
Surigao del Norte,CARAGA,2022,1,0,0,559,2174,0,5,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Norte,CARAGA,2023,0,0,0,823,2802,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Norte,CARAGA,2024,0,0,0,2991,12966,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Sur,CARAGA,2020,7,0,0,31052,131840,82,1052,67164420.0,0.0,0.0,0.0,0.0,67164420.0
Surigao del Sur,CARAGA,2021,0,5,0,139598,533392,748,9434,121389345.0,161669436.02,0.0,0.0,181566110.0,464624891.02
Surigao del Sur,CARAGA,2022,0,0,0,53,265,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Sur,CARAGA,2023,0,0,0,76009,276969,38,1913,9709578.51,2352000.0,0.0,0.0,0.0,12061578.51
Surigao del Sur,CARAGA,2024,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Tarlac,III,2020,0,0,0,2951,14064,0,0,22165659.0,0.0,0.0,0.0,0.0,22165659.0
Tarlac,III,2021,0,0,0,0,0,0,0,35600.0,0.0,0.0,0.0,0.0,35600.0
Tarlac,III,2022,0,0,0,9061,34288,332,3729,346631934.18,2500000.0,0.0,0.0,0.0,349131934.18
Tarlac,III,2023,0,0,0,1,5,0,0,0.0,100000000.0,0.0,0.0,0.0,100000000.0
Tarlac,III,2024,0,0,0,41840,153120,8,105,183854527.22,497001064.02,0.0,0.0,0.0,680855591.24
Tawi-tawi,CARAGA,2022,1,0,0,125,0,0,0,20830009.9,0.0,0.0,0.0,0.0,20830009.9
Zambales,III,2020,0,0,0,691,2520,0,0,6614995.61,0.0,0.0,0.0,0.0,6614995.61
Zambales,III,2021,0,2,0,637,1376,0,0,7515560.92,0.0,0.0,0.0,0.0,7515560.92
Zambales,III,2022,3,5,0,2845,9421,138,357,37965712.49,0.0,0.0,0.0,0.0,37965712.49
Zambales,III,2023,0,0,0,1726,6139,0,0,8089096.96,0.0,0.0,0.0,0.0,8089096.96
